ID Date,ID Doc Type,ID Org ID,Account Tag,Company Name,Credits Used,Doc Type Title,Expiry Date,Monthly Doc Current,Monthly Doc Limit,Source,Upload Count
2023-11,,1234,,local,123248,,,,,api,123248
2023-11,bs,1234,,local,1983,,,,,api,1983
2023-11,pan,1234,,local,14838,PAN,,,,api,14838
2023-12,,1234,,local,161451,,,,,api,161451
2023-12,bs,1234,,local,8092,,,,,api,8092
2023-12,pan,1234,,local,15753,PAN,,,,api,15753
2024-01,,1234,,local,165897,,,,,api,165897
2024-01,bs,1234,,local,8228,,,,,api,8228
2024-01,pan,1234,,local,19755,PAN,,,,api,19755
2024-02,,1234,,local,191445,,,,,api,191445
2024-02,bs,1234,,local,8580,,,,,api,8580
2024-02,pan,1234,,local,20334,PAN,,,,api,20334
2024-03,,1234,,local,16429,,,,,api,16429
2024-03,bs,1234,,local,4190,,,,,api,4190
2024-03,pan,1234,,local,2083,PAN,,,,api,2083
2023-11,,3mxpKhFXZi,,Docsumo,35,,,,,api,35
2023-12,,3mxpKhFXZi,,Docsumo,7,,,,,api,7
2024-01,,3mxpKhFXZi,,Docsumo,9,,,,,api,9
2024-02,,3mxpKhFXZi,,Docsumo,10,,,,,api,10
2024-01,,4MAZq3JWmd,,Afrinova Digital,16,,,,,api,16
2024-02,,4MAZq3JWmd,,Afrinova Digital,16,,,,,api,16
2023-11,,5aF3MB4oq8,,Docsumo,1,,,,,api,1
2023-11,others__CqIwB,5e299e55033461d41704b284,live,The Fuel Company,2,as24,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,2
2023-11,others__CqIwB__MawGp__jhMyg,5e299e55033461d41704b284,live,The Fuel Company,5,dkv,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,5
2023-11,others__CqIwB__NeYyd,5e299e55033461d41704b284,live,The Fuel Company,115,none,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,115
2023-12,others__CqIwB,5e299e55033461d41704b284,live,The Fuel Company,1,as24,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,1
2023-12,others__CqIwB__MawGp__jhMyg,5e299e55033461d41704b284,live,The Fuel Company,34,dkv,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,34
2023-12,others__CqIwB__NeYyd,5e299e55033461d41704b284,live,The Fuel Company,65,none,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,65
2024-01,others__CqIwB,5e299e55033461d41704b284,live,The Fuel Company,1,as24,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,1
2024-01,others__CqIwB__MawGp__jhMyg,5e299e55033461d41704b284,live,The Fuel Company,32,dkv,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,32
2024-01,others__CqIwB__NeYyd,5e299e55033461d41704b284,live,The Fuel Company,163,none,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,163
2024-02,others__CqIwB__MawGp__jhMyg,5e299e55033461d41704b284,live,The Fuel Company,17,dkv,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,17
2024-02,others__CqIwB__NeYyd,5e299e55033461d41704b284,live,The Fuel Company,83,none,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,83
2024-03,others__CqIwB__NeYyd,5e299e55033461d41704b284,live,The Fuel Company,5,none,"Fri, 30 May 2025 00:00:00 GMT",115,5500,product,5
2024-02,invoice,5e9d33e7904eb9b51f19e89a,free,docsumo,1,Invoice,"Thu, 30 Jun 2022 00:00:00 GMT",10,500,product,1
2023-11,others__HbKkq,5ea90aba2e762efccee2cab3,live,Valta Tech,105,VWFSInvoicePROD,"Wed, 30 Jul 2025 00:00:00 GMT",7325,80000,product,112
2023-11,others__JoECO__mdPMI,5ea90aba2e762efccee2cab3,live,Valta Tech,21,PEPPOLInvoicePROD,"Wed, 30 Jul 2025 00:00:00 GMT",7325,80000,product,21
